District,4,5,6,7,Tot,labels
26,0.011363636363636364,0.022727272727272728,0.05965909090909091,0.90625,352,7
27,0.012039903680770554,0.011351909184726523,0.0392156862745098,0.9373925008599931,2907,7
28,0.015213575190169689,0.04798127559976594,0.06904622586307782,0.8677589233469866,1709,7
29,0.02033492822966507,0.0645933014354067,0.13995215311004786,0.7751196172248804,836,7
30,0.022222222222222223,0.06262626262626263,0.13636363636363635,0.7787878787878788,990,7
31,0.08329947175944738,0.07232832182039821,0.13206013815522147,0.712312068264933,2461,7
32,0.05289421157684631,0.08982035928143713,0.26746506986027946,0.5898203592814372,1002,7
33,0.04369449378330373,0.03339253996447602,0.09307282415630551,0.8298401420959147,2815,7
34,0.07563025210084033,0.025210084033613446,0.09243697478991597,0.8067226890756303,238,7
35,0.000572737686139748,0.722794959908362,0.17411225658648338,0.10252004581901489,1746,5
36,0.004137931034482759,0.44551724137931037,0.2924137931034483,0.2579310344827586,725,6
37,0.005172413793103448,0.3913793103448276,0.35517241379310344,0.2482758620689655,1160,6
38,0.001959503592423253,0.36250816459830176,0.3109079033311561,0.3246244284781189,1531,6
39,0.0018975332068311196,0.3605313092979127,0.3700189753320683,0.2675521821631879,527,6
40,0.0019230769230769232,0.5,0.3942307692307692,0.10384615384615385,520,6
41,0.0008795074758135445,0.5065963060686016,0.3333333333333333,0.15919085312225154,1137,6
42,0.007537688442211055,0.3492462311557789,0.44974874371859297,0.1934673366834171,398,6
43,0.001736111111111111,0.5486111111111112,0.2604166666666667,0.1892361111111111,1152,6
44,0.0,0.18446601941747573,0.48220064724919093,0.3333333333333333,309,6
45,0.0,0.37554585152838427,0.37117903930131,0.25327510917030566,229,6
46,0.0,0.14285714285714285,0.4588744588744589,0.39826839826839827,462,6
47,0.0,0.20634920634920634,0.5174603174603175,0.2761904761904762,315,6
48,0.0027649769585253456,0.25161290322580643,0.4949308755760369,0.25069124423963135,1085,6
49,0.0011074197120708748,0.717607973421927,0.1805094130675526,0.10077519379844961,903,5
50,0.0,0.8436911487758946,0.14689265536723164,0.009416195856873822,531,5
51,0.007342143906020558,0.27165932452276065,0.3803230543318649,0.3406754772393539,681,6
52,0.0018281535648994515,0.08957952468007313,0.28884826325411334,0.6197440585009141,547,7
53,0.0,0.28756476683937826,0.4572538860103627,0.2551813471502591,772,6
54,0.0,0.14492753623188406,0.4396135265700483,0.41545893719806765,207,6
55,0.0,0.0,0.0,1.0,45,7
56,0.12011173184357542,0.0712290502793296,0.13547486033519554,0.6731843575418994,716,7
57,0.0628099173553719,0.048760330578512395,0.10495867768595041,0.7834710743801653,1210,7
58,0.04387291981845688,0.037821482602118005,0.06959152798789713,0.848714069591528,661,7
59,0.09994508511806699,0.08511806699615596,0.11312465678198792,0.7018121911037891,1821,7
60,0.02654867256637168,0.049778761061946904,0.11504424778761062,0.8086283185840708,904,7
61,0.08863138114625743,0.05104917005950517,0.059191982461634825,0.8011274663326026,3193,7
62,0.0867665418227216,0.06554307116104868,0.1348314606741573,0.7128589263420724,1602,7
63,0.08710407239819004,0.06447963800904978,0.14705882352941177,0.7013574660633484,884,7
64,0.06880941602535083,0.07650520597555455,0.1344499773653237,0.7202354006337709,2209,7
65,0.09315866084425037,0.11062590975254731,0.20378457059679767,0.5924308588064047,687,7
66,0.03642384105960265,0.1183774834437086,0.18874172185430463,0.6564569536423841,1208,7
67,0.0,0.4514218009478673,0.3518957345971564,0.1966824644549763,844,6
68,0.004497751124437781,0.5922038980509745,0.2158920539730135,0.1874062968515742,667,6
69,0.02112676056338028,0.03873239436619718,0.12323943661971831,0.8169014084507042,284,7
70,0.0017482517482517483,0.05419580419580419,0.1520979020979021,0.791958041958042,572,7
71,0.002861230329041488,0.12875536480686695,0.19599427753934193,0.6723891273247496,699,7
72,0.0,0.036511156186612576,0.15415821501014199,0.8093306288032455,493,7
73,0.005747126436781609,0.1867816091954023,0.3620689655172414,0.4454022988505747,348,6
74,0.0,0.08576642335766424,0.1478102189781022,0.7664233576642335,548,7
75,0.0,0.13306451612903225,0.3467741935483871,0.5201612903225806,248,6
76,0.01937046004842615,0.162227602905569,0.4116222760290557,0.4067796610169492,413,6
77,0.04228855721393035,0.24129353233830847,0.3805970149253731,0.3358208955223881,402,6
