District,4,5,6,7,Tot,labels
44,0.003236245954692557,0.2524271844660194,0.598705501618123,0.14563106796116504,309,5
45,0.008733624454148471,0.11790393013100436,0.62882096069869,0.2445414847161572,229,6
46,0.0021645021645021645,0.10606060606060606,0.5714285714285714,0.3203463203463203,462,6
47,0.0,0.11746031746031746,0.5746031746031746,0.30793650793650795,315,6
48,0.0064516129032258064,0.11981566820276497,0.5142857142857142,0.35944700460829493,1085,6
49,0.008859357696566999,0.1461794019933555,0.6013289036544851,0.24363233665559247,903,5
50,0.011299435028248588,0.1431261770244821,0.6741996233521658,0.1713747645951036,531,5
51,0.005873715124816446,0.09544787077826726,0.41262848751835535,0.48604992657856094,681,6
52,0.012797074954296161,0.09140767824497258,0.4351005484460695,0.4606946983546618,547,6
53,0.0012953367875647669,0.07512953367875648,0.5168393782383419,0.4067357512953368,772,6
54,0.0,0.0966183574879227,0.6328502415458938,0.27053140096618356,207,6
55,0.0,0.022222222222222223,0.2,0.7777777777777778,45,7
56,0.00558659217877095,0.05027932960893855,0.2388268156424581,0.7053072625698324,716,7
57,0.008264462809917356,0.03553719008264463,0.19090909090909092,0.7652892561983471,1210,7
58,0.0045385779122541605,0.015128593040847202,0.12859304084720122,0.8517397881996974,661,7
59,0.004942339373970346,0.040087863811092805,0.21197144426139483,0.742998352553542,1821,7
60,0.007743362831858407,0.061946902654867256,0.25331858407079644,0.6769911504424779,904,7
61,0.003758221108675227,0.03319761979329784,0.20325712496085185,0.7597870341371751,3193,7
62,0.003121098626716604,0.03495630461922597,0.20599250936329588,0.7559300873907615,1602,7
63,0.007918552036199095,0.029411764705882353,0.2228506787330317,0.7398190045248869,884,7
64,0.002716161158895428,0.018560434585785424,0.19737437754640108,0.781349026708918,2209,7
65,0.034934497816593885,0.1339155749636099,0.38282387190684136,0.4483260553129549,687,5
66,0.008278145695364239,0.07119205298013245,0.3038079470198676,0.6167218543046358,1208,6
67,0.013033175355450236,0.11137440758293839,0.45260663507109006,0.42298578199052134,844,6
68,0.010494752623688156,0.050974512743628186,0.44377811094452774,0.4947526236881559,667,6
69,0.007042253521126761,0.05985915492957746,0.29225352112676056,0.6408450704225352,284,7
70,0.0017482517482517483,0.038461538461538464,0.4405594405594406,0.5192307692307693,572,6
71,0.00715307582260372,0.09155937052932761,0.5035765379113019,0.3977110157367668,699,6
72,0.0,0.04259634888438134,0.42190669371196754,0.5354969574036511,493,6
73,0.0,0.05459770114942529,0.5172413793103449,0.4281609195402299,348,6
74,0.0,0.058394160583941604,0.4489051094890511,0.4927007299270073,548,6
75,0.0,0.04435483870967742,0.4717741935483871,0.4838709677419355,248,6
76,0.002421307506053269,0.029055690072639227,0.5956416464891041,0.3728813559322034,413,6
77,0.0,0.03233830845771144,0.5422885572139303,0.4253731343283582,402,6
78,0.0,0.038834951456310676,0.5792880258899676,0.3818770226537217,309,6
79,0.00234192037470726,0.04918032786885246,0.5035128805620609,0.4449648711943794,427,6
80,0.005319148936170213,0.04521276595744681,0.5159574468085106,0.43351063829787234,376,6
81,0.0,0.059369202226345084,0.5343228200371057,0.40630797773654914,539,6
82,0.0,0.004694835680751174,0.5211267605633803,0.47417840375586856,213,6
83,0.003134796238244514,0.03134796238244514,0.47648902821316613,0.4890282131661442,319,6
84,0.0,0.018306636155606407,0.37299771167048057,0.6086956521739131,437,7
85,0.0,0.015217391304347827,0.3673913043478261,0.6173913043478261,460,7
86,0.0,0.04833836858006042,0.283987915407855,0.6676737160120846,331,7
87,0.008403361344537815,0.18277310924369747,0.5588235294117647,0.25,476,5
88,0.016216216216216217,0.05945945945945946,0.41081081081081083,0.5135135135135135,185,6
89,0.0,0.07647058823529412,0.55,0.3735294117647059,340,6
90,0.0,0.01818181818181818,0.25,0.7318181818181818,220,7
91,0.014705882352941176,0.007352941176470588,0.3382352941176471,0.6397058823529411,136,7
92,0.0,0.0,0.27205882352941174,0.7279411764705882,136,7
93,0.0,0.0,0.2689075630252101,0.7310924369747899,119,7
